full_date,date_key,day_of_week,month,year,month_name,quarter,week_of_year,day
2016-04-25,20160425,Monday,4,2016,April,2,17,0
2016-04-26,20160426,Tuesday,4,2016,April,2,17,1
2016-04-27,20160427,Wednesday,4,2016,April,2,17,2
2016-04-28,20160428,Thursday,4,2016,April,2,17,3
2016-04-29,20160429,Friday,4,2016,April,2,17,4
2016-04-30,20160430,Saturday,4,2016,April,2,17,5
2016-05-01,20160501,Sunday,5,2016,May,2,17,6
2016-05-02,20160502,Monday,5,2016,May,2,18,0
2016-05-03,20160503,Tuesday,5,2016,May,2,18,1
2016-05-04,20160504,Wednesday,5,2016,May,2,18,2
2016-05-05,20160505,Thursday,5,2016,May,2,18,3
2016-05-06,20160506,Friday,5,2016,May,2,18,4
2016-05-07,20160507,Saturday,5,2016,May,2,18,5
2016-05-08,20160508,Sunday,5,2016,May,2,18,6
2016-05-09,20160509,Monday,5,2016,May,2,19,0
2016-05-10,20160510,Tuesday,5,2016,May,2,19,1
2016-05-11,20160511,Wednesday,5,2016,May,2,19,2
2016-05-12,20160512,Thursday,5,2016,May,2,19,3
2016-05-13,20160513,Friday,5,2016,May,2,19,4
2016-05-14,20160514,Saturday,5,2016,May,2,19,5
2016-05-15,20160515,Sunday,5,2016,May,2,19,6
2016-05-16,20160516,Monday,5,2016,May,2,20,0
2016-05-17,20160517,Tuesday,5,2016,May,2,20,1
2016-05-18,20160518,Wednesday,5,2016,May,2,20,2
2016-05-19,20160519,Thursday,5,2016,May,2,20,3
2016-05-20,20160520,Friday,5,2016,May,2,20,4
2016-05-21,20160521,Saturday,5,2016,May,2,20,5
2016-05-22,20160522,Sunday,5,2016,May,2,20,6
2016-05-23,20160523,Monday,5,2016,May,2,21,0
2016-05-24,20160524,Tuesday,5,2016,May,2,21,1
2016-05-25,20160525,Wednesday,5,2016,May,2,21,2
2016-05-26,20160526,Thursday,5,2016,May,2,21,3
2016-05-27,20160527,Friday,5,2016,May,2,21,4
2016-05-28,20160528,Saturday,5,2016,May,2,21,5
2016-05-29,20160529,Sunday,5,2016,May,2,21,6
2016-05-30,20160530,Monday,5,2016,May,2,22,0
2016-05-31,20160531,Tuesday,5,2016,May,2,22,1
2016-06-01,20160601,Wednesday,6,2016,June,2,22,2
2016-06-02,20160602,Thursday,6,2016,June,2,22,3
2016-06-03,20160603,Friday,6,2016,June,2,22,4
2016-06-04,20160604,Saturday,6,2016,June,2,22,5
2016-06-05,20160605,Sunday,6,2016,June,2,22,6
2016-06-06,20160606,Monday,6,2016,June,2,23,0
2016-06-07,20160607,Tuesday,6,2016,June,2,23,1
2016-06-08,20160608,Wednesday,6,2016,June,2,23,2
2016-06-09,20160609,Thursday,6,2016,June,2,23,3
2016-06-10,20160610,Friday,6,2016,June,2,23,4
2016-06-11,20160611,Saturday,6,2016,June,2,23,5
2016-06-12,20160612,Sunday,6,2016,June,2,23,6
2016-06-13,20160613,Monday,6,2016,June,2,24,0
2016-06-14,20160614,Tuesday,6,2016,June,2,24,1
2016-06-15,20160615,Wednesday,6,2016,June,2,24,2
2016-06-16,20160616,Thursday,6,2016,June,2,24,3
2016-06-17,20160617,Friday,6,2016,June,2,24,4
2016-06-18,20160618,Saturday,6,2016,June,2,24,5
2016-06-19,20160619,Sunday,6,2016,June,2,24,6
2016-06-20,20160620,Monday,6,2016,June,2,25,0
2016-06-21,20160621,Tuesday,6,2016,June,2,25,1
2016-06-22,20160622,Wednesday,6,2016,June,2,25,2
2016-06-23,20160623,Thursday,6,2016,June,2,25,3
2016-06-24,20160624,Friday,6,2016,June,2,25,4
2016-06-25,20160625,Saturday,6,2016,June,2,25,5
2016-06-26,20160626,Sunday,6,2016,June,2,25,6
2016-06-27,20160627,Monday,6,2016,June,2,26,0
2016-06-28,20160628,Tuesday,6,2016,June,2,26,1
2016-06-29,20160629,Wednesday,6,2016,June,2,26,2
2016-06-30,20160630,Thursday,6,2016,June,2,26,3
2016-07-01,20160701,Friday,7,2016,July,3,26,4
2016-07-02,20160702,Saturday,7,2016,July,3,26,5
2016-07-03,20160703,Sunday,7,2016,July,3,26,6
2016-07-04,20160704,Monday,7,2016,July,3,27,0
2016-07-05,20160705,Tuesday,7,2016,July,3,27,1
2016-07-06,20160706,Wednesday,7,2016,July,3,27,2
2016-07-07,20160707,Thursday,7,2016,July,3,27,3
2016-07-08,20160708,Friday,7,2016,July,3,27,4
2016-07-09,20160709,Saturday,7,2016,July,3,27,5
2016-07-10,20160710,Sunday,7,2016,July,3,27,6
2016-07-11,20160711,Monday,7,2016,July,3,28,0
2016-07-12,20160712,Tuesday,7,2016,July,3,28,1
2016-07-13,20160713,Wednesday,7,2016,July,3,28,2
2016-07-14,20160714,Thursday,7,2016,July,3,28,3
2016-07-15,20160715,Friday,7,2016,July,3,28,4
2016-07-16,20160716,Saturday,7,2016,July,3,28,5
2016-07-17,20160717,Sunday,7,2016,July,3,28,6
2016-07-18,20160718,Monday,7,2016,July,3,29,0
2016-07-19,20160719,Tuesday,7,2016,July,3,29,1
2016-07-20,20160720,Wednesday,7,2016,July,3,29,2
2016-07-21,20160721,Thursday,7,2016,July,3,29,3
2016-07-22,20160722,Friday,7,2016,July,3,29,4
2016-07-23,20160723,Saturday,7,2016,July,3,29,5
2016-07-24,20160724,Sunday,7,2016,July,3,29,6
2016-07-25,20160725,Monday,7,2016,July,3,30,0
2016-07-26,20160726,Tuesday,7,2016,July,3,30,1
2016-07-27,20160727,Wednesday,7,2016,July,3,30,2
2016-07-28,20160728,Thursday,7,2016,July,3,30,3
2016-07-29,20160729,Friday,7,2016,July,3,30,4
2016-07-30,20160730,Saturday,7,2016,July,3,30,5
2016-07-31,20160731,Sunday,7,2016,July,3,30,6
2016-08-01,20160801,Monday,8,2016,August,3,31,0
2016-08-02,20160802,Tuesday,8,2016,August,3,31,1
2016-08-03,20160803,Wednesday,8,2016,August,3,31,2
2016-08-04,20160804,Thursday,8,2016,August,3,31,3
2016-08-05,20160805,Friday,8,2016,August,3,31,4
2016-08-06,20160806,Saturday,8,2016,August,3,31,5
2016-08-07,20160807,Sunday,8,2016,August,3,31,6
2016-08-08,20160808,Monday,8,2016,August,3,32,0
2016-08-09,20160809,Tuesday,8,2016,August,3,32,1
2016-08-10,20160810,Wednesday,8,2016,August,3,32,2
2016-08-11,20160811,Thursday,8,2016,August,3,32,3
2016-08-12,20160812,Friday,8,2016,August,3,32,4
2016-08-13,20160813,Saturday,8,2016,August,3,32,5
2016-08-14,20160814,Sunday,8,2016,August,3,32,6
2016-08-15,20160815,Monday,8,2016,August,3,33,0
2016-08-16,20160816,Tuesday,8,2016,August,3,33,1
2016-08-17,20160817,Wednesday,8,2016,August,3,33,2
2016-08-18,20160818,Thursday,8,2016,August,3,33,3
2016-08-19,20160819,Friday,8,2016,August,3,33,4
2016-08-20,20160820,Saturday,8,2016,August,3,33,5
2016-08-21,20160821,Sunday,8,2016,August,3,33,6
2016-08-22,20160822,Monday,8,2016,August,3,34,0
2016-08-23,20160823,Tuesday,8,2016,August,3,34,1
2016-08-24,20160824,Wednesday,8,2016,August,3,34,2
2016-08-25,20160825,Thursday,8,2016,August,3,34,3
2016-08-26,20160826,Friday,8,2016,August,3,34,4
2016-08-27,20160827,Saturday,8,2016,August,3,34,5
2016-08-28,20160828,Sunday,8,2016,August,3,34,6
2016-08-29,20160829,Monday,8,2016,August,3,35,0
2016-08-30,20160830,Tuesday,8,2016,August,3,35,1
2016-08-31,20160831,Wednesday,8,2016,August,3,35,2
2016-09-01,20160901,Thursday,9,2016,September,3,35,3
2016-09-02,20160902,Friday,9,2016,September,3,35,4
2016-09-03,20160903,Saturday,9,2016,September,3,35,5
2016-09-04,20160904,Sunday,9,2016,September,3,35,6
2016-09-05,20160905,Monday,9,2016,September,3,36,0
2016-09-06,20160906,Tuesday,9,2016,September,3,36,1
2016-09-07,20160907,Wednesday,9,2016,September,3,36,2
2016-09-08,20160908,Thursday,9,2016,September,3,36,3
2016-09-09,20160909,Friday,9,2016,September,3,36,4
2016-09-10,20160910,Saturday,9,2016,September,3,36,5
2016-09-11,20160911,Sunday,9,2016,September,3,36,6
2016-09-12,20160912,Monday,9,2016,September,3,37,0
2016-09-13,20160913,Tuesday,9,2016,September,3,37,1
2016-09-14,20160914,Wednesday,9,2016,September,3,37,2
2016-09-15,20160915,Thursday,9,2016,September,3,37,3
2016-09-16,20160916,Friday,9,2016,September,3,37,4
2016-09-17,20160917,Saturday,9,2016,September,3,37,5
2016-09-18,20160918,Sunday,9,2016,September,3,37,6
2016-09-19,20160919,Monday,9,2016,September,3,38,0
2016-09-20,20160920,Tuesday,9,2016,September,3,38,1
2016-09-21,20160921,Wednesday,9,2016,September,3,38,2
2016-09-22,20160922,Thursday,9,2016,September,3,38,3
2016-09-23,20160923,Friday,9,2016,September,3,38,4
2016-09-24,20160924,Saturday,9,2016,September,3,38,5
2016-09-25,20160925,Sunday,9,2016,September,3,38,6
2016-09-26,20160926,Monday,9,2016,September,3,39,0
2016-09-27,20160927,Tuesday,9,2016,September,3,39,1
2016-09-28,20160928,Wednesday,9,2016,September,3,39,2
2016-09-29,20160929,Thursday,9,2016,September,3,39,3
2016-09-30,20160930,Friday,9,2016,September,3,39,4
2016-10-01,20161001,Saturday,10,2016,October,4,39,5
2016-10-02,20161002,Sunday,10,2016,October,4,39,6
2016-10-03,20161003,Monday,10,2016,October,4,40,0
2016-10-04,20161004,Tuesday,10,2016,October,4,40,1
2016-10-05,20161005,Wednesday,10,2016,October,4,40,2
2016-10-06,20161006,Thursday,10,2016,October,4,40,3
2016-10-07,20161007,Friday,10,2016,October,4,40,4
2016-10-08,20161008,Saturday,10,2016,October,4,40,5
2016-10-09,20161009,Sunday,10,2016,October,4,40,6
2016-10-10,20161010,Monday,10,2016,October,4,41,0
2016-10-11,20161011,Tuesday,10,2016,October,4,41,1
2016-10-12,20161012,Wednesday,10,2016,October,4,41,2
2016-10-13,20161013,Thursday,10,2016,October,4,41,3
2016-10-14,20161014,Friday,10,2016,October,4,41,4
2016-10-15,20161015,Saturday,10,2016,October,4,41,5
2016-10-16,20161016,Sunday,10,2016,October,4,41,6
2016-10-17,20161017,Monday,10,2016,October,4,42,0
2016-10-18,20161018,Tuesday,10,2016,October,4,42,1
2016-10-19,20161019,Wednesday,10,2016,October,4,42,2
2016-10-20,20161020,Thursday,10,2016,October,4,42,3
2016-10-21,20161021,Friday,10,2016,October,4,42,4
2016-10-22,20161022,Saturday,10,2016,October,4,42,5
2016-10-23,20161023,Sunday,10,2016,October,4,42,6
2016-10-24,20161024,Monday,10,2016,October,4,43,0
2016-10-25,20161025,Tuesday,10,2016,October,4,43,1
2016-10-26,20161026,Wednesday,10,2016,October,4,43,2
2016-10-27,20161027,Thursday,10,2016,October,4,43,3
2016-10-28,20161028,Friday,10,2016,October,4,43,4
2016-10-29,20161029,Saturday,10,2016,October,4,43,5
2016-10-30,20161030,Sunday,10,2016,October,4,43,6
2016-10-31,20161031,Monday,10,2016,October,4,44,0
2016-11-01,20161101,Tuesday,11,2016,November,4,44,1
2016-11-02,20161102,Wednesday,11,2016,November,4,44,2
2016-11-03,20161103,Thursday,11,2016,November,4,44,3
2016-11-04,20161104,Friday,11,2016,November,4,44,4
2016-11-05,20161105,Saturday,11,2016,November,4,44,5
2016-11-06,20161106,Sunday,11,2016,November,4,44,6
2016-11-07,20161107,Monday,11,2016,November,4,45,0
2016-11-08,20161108,Tuesday,11,2016,November,4,45,1
2016-11-09,20161109,Wednesday,11,2016,November,4,45,2
2016-11-10,20161110,Thursday,11,2016,November,4,45,3
2016-11-11,20161111,Friday,11,2016,November,4,45,4
2016-11-12,20161112,Saturday,11,2016,November,4,45,5
2016-11-13,20161113,Sunday,11,2016,November,4,45,6
2016-11-14,20161114,Monday,11,2016,November,4,46,0
2016-11-15,20161115,Tuesday,11,2016,November,4,46,1
2016-11-16,20161116,Wednesday,11,2016,November,4,46,2
2016-11-17,20161117,Thursday,11,2016,November,4,46,3
2016-11-18,20161118,Friday,11,2016,November,4,46,4
2016-11-19,20161119,Saturday,11,2016,November,4,46,5
2016-11-20,20161120,Sunday,11,2016,November,4,46,6
2016-11-21,20161121,Monday,11,2016,November,4,47,0
2016-11-22,20161122,Tuesday,11,2016,November,4,47,1
2016-11-23,20161123,Wednesday,11,2016,November,4,47,2
2016-11-24,20161124,Thursday,11,2016,November,4,47,3
2016-11-25,20161125,Friday,11,2016,November,4,47,4
2016-11-26,20161126,Saturday,11,2016,November,4,47,5
2016-11-27,20161127,Sunday,11,2016,November,4,47,6
2016-11-28,20161128,Monday,11,2016,November,4,48,0
2016-11-29,20161129,Tuesday,11,2016,November,4,48,1
2016-11-30,20161130,Wednesday,11,2016,November,4,48,2
2016-12-01,20161201,Thursday,12,2016,December,4,48,3
2016-12-02,20161202,Friday,12,2016,December,4,48,4
2016-12-03,20161203,Saturday,12,2016,December,4,48,5
2016-12-04,20161204,Sunday,12,2016,December,4,48,6
2016-12-05,20161205,Monday,12,2016,December,4,49,0
2016-12-06,20161206,Tuesday,12,2016,December,4,49,1
2016-12-07,20161207,Wednesday,12,2016,December,4,49,2
2016-12-08,20161208,Thursday,12,2016,December,4,49,3
2016-12-09,20161209,Friday,12,2016,December,4,49,4
2016-12-10,20161210,Saturday,12,2016,December,4,49,5
2016-12-11,20161211,Sunday,12,2016,December,4,49,6
2016-12-12,20161212,Monday,12,2016,December,4,50,0
2016-12-13,20161213,Tuesday,12,2016,December,4,50,1
2016-12-14,20161214,Wednesday,12,2016,December,4,50,2
2016-12-15,20161215,Thursday,12,2016,December,4,50,3
2016-12-16,20161216,Friday,12,2016,December,4,50,4
2016-12-17,20161217,Saturday,12,2016,December,4,50,5
2016-12-18,20161218,Sunday,12,2016,December,4,50,6
2016-12-19,20161219,Monday,12,2016,December,4,51,0
2016-12-20,20161220,Tuesday,12,2016,December,4,51,1
2016-12-21,20161221,Wednesday,12,2016,December,4,51,2
2016-12-22,20161222,Thursday,12,2016,December,4,51,3
2016-12-23,20161223,Friday,12,2016,December,4,51,4
2016-12-24,20161224,Saturday,12,2016,December,4,51,5
2016-12-25,20161225,Sunday,12,2016,December,4,51,6
2016-12-26,20161226,Monday,12,2016,December,4,52,0
2016-12-27,20161227,Tuesday,12,2016,December,4,52,1
2016-12-28,20161228,Wednesday,12,2016,December,4,52,2
2016-12-29,20161229,Thursday,12,2016,December,4,52,3
2016-12-30,20161230,Friday,12,2016,December,4,52,4
2016-12-31,20161231,Saturday,12,2016,December,4,52,5
2017-01-01,20170101,Sunday,1,2017,January,1,52,6
2017-01-02,20170102,Monday,1,2017,January,1,1,0
2017-01-03,20170103,Tuesday,1,2017,January,1,1,1
2017-01-04,20170104,Wednesday,1,2017,January,1,1,2
2017-01-05,20170105,Thursday,1,2017,January,1,1,3
2017-01-06,20170106,Friday,1,2017,January,1,1,4
2017-01-07,20170107,Saturday,1,2017,January,1,1,5
2017-01-08,20170108,Sunday,1,2017,January,1,1,6
2017-01-09,20170109,Monday,1,2017,January,1,2,0
2017-01-10,20170110,Tuesday,1,2017,January,1,2,1
2017-01-11,20170111,Wednesday,1,2017,January,1,2,2
2017-01-12,20170112,Thursday,1,2017,January,1,2,3
2017-01-13,20170113,Friday,1,2017,January,1,2,4
2017-01-14,20170114,Saturday,1,2017,January,1,2,5
2017-01-15,20170115,Sunday,1,2017,January,1,2,6
2017-01-16,20170116,Monday,1,2017,January,1,3,0
2017-01-17,20170117,Tuesday,1,2017,January,1,3,1
2017-01-18,20170118,Wednesday,1,2017,January,1,3,2
2017-01-19,20170119,Thursday,1,2017,January,1,3,3
2017-01-20,20170120,Friday,1,2017,January,1,3,4
2017-01-21,20170121,Saturday,1,2017,January,1,3,5
2017-01-22,20170122,Sunday,1,2017,January,1,3,6
2017-01-23,20170123,Monday,1,2017,January,1,4,0
2017-01-24,20170124,Tuesday,1,2017,January,1,4,1
2017-01-25,20170125,Wednesday,1,2017,January,1,4,2
2017-01-26,20170126,Thursday,1,2017,January,1,4,3
2017-01-27,20170127,Friday,1,2017,January,1,4,4
2017-01-28,20170128,Saturday,1,2017,January,1,4,5
2017-01-29,20170129,Sunday,1,2017,January,1,4,6
2017-01-30,20170130,Monday,1,2017,January,1,5,0
2017-01-31,20170131,Tuesday,1,2017,January,1,5,1
2017-02-01,20170201,Wednesday,2,2017,February,1,5,2
2017-02-02,20170202,Thursday,2,2017,February,1,5,3
2017-02-03,20170203,Friday,2,2017,February,1,5,4
2017-02-04,20170204,Saturday,2,2017,February,1,5,5
2017-02-05,20170205,Sunday,2,2017,February,1,5,6
2017-02-06,20170206,Monday,2,2017,February,1,6,0
2017-02-07,20170207,Tuesday,2,2017,February,1,6,1
2017-02-08,20170208,Wednesday,2,2017,February,1,6,2
2017-02-09,20170209,Thursday,2,2017,February,1,6,3
2017-02-10,20170210,Friday,2,2017,February,1,6,4
2017-02-11,20170211,Saturday,2,2017,February,1,6,5
2017-02-12,20170212,Sunday,2,2017,February,1,6,6
2017-02-13,20170213,Monday,2,2017,February,1,7,0
2017-02-14,20170214,Tuesday,2,2017,February,1,7,1
2017-02-15,20170215,Wednesday,2,2017,February,1,7,2
2017-02-16,20170216,Thursday,2,2017,February,1,7,3
2017-02-17,20170217,Friday,2,2017,February,1,7,4
2017-02-18,20170218,Saturday,2,2017,February,1,7,5
2017-02-19,20170219,Sunday,2,2017,February,1,7,6
2017-02-20,20170220,Monday,2,2017,February,1,8,0
2017-02-21,20170221,Tuesday,2,2017,February,1,8,1
2017-02-22,20170222,Wednesday,2,2017,February,1,8,2
2017-02-23,20170223,Thursday,2,2017,February,1,8,3
2017-02-24,20170224,Friday,2,2017,February,1,8,4
2017-02-25,20170225,Saturday,2,2017,February,1,8,5
2017-02-26,20170226,Sunday,2,2017,February,1,8,6
2017-02-27,20170227,Monday,2,2017,February,1,9,0
2017-02-28,20170228,Tuesday,2,2017,February,1,9,1
2017-03-01,20170301,Wednesday,3,2017,March,1,9,2
2017-03-02,20170302,Thursday,3,2017,March,1,9,3
2017-03-03,20170303,Friday,3,2017,March,1,9,4
2017-03-04,20170304,Saturday,3,2017,March,1,9,5
2017-03-05,20170305,Sunday,3,2017,March,1,9,6
2017-03-06,20170306,Monday,3,2017,March,1,10,0
2017-03-07,20170307,Tuesday,3,2017,March,1,10,1
2017-03-08,20170308,Wednesday,3,2017,March,1,10,2
2017-03-09,20170309,Thursday,3,2017,March,1,10,3
2017-03-10,20170310,Friday,3,2017,March,1,10,4
2017-03-11,20170311,Saturday,3,2017,March,1,10,5
2017-03-12,20170312,Sunday,3,2017,March,1,10,6
2017-03-13,20170313,Monday,3,2017,March,1,11,0
2017-03-14,20170314,Tuesday,3,2017,March,1,11,1
2017-03-15,20170315,Wednesday,3,2017,March,1,11,2
2017-03-16,20170316,Thursday,3,2017,March,1,11,3
2017-03-17,20170317,Friday,3,2017,March,1,11,4
2017-03-18,20170318,Saturday,3,2017,March,1,11,5
2017-03-19,20170319,Sunday,3,2017,March,1,11,6
2017-03-20,20170320,Monday,3,2017,March,1,12,0
2017-03-21,20170321,Tuesday,3,2017,March,1,12,1
2017-03-22,20170322,Wednesday,3,2017,March,1,12,2
2017-03-23,20170323,Thursday,3,2017,March,1,12,3
2017-03-24,20170324,Friday,3,2017,March,1,12,4
2017-03-25,20170325,Saturday,3,2017,March,1,12,5
2017-03-26,20170326,Sunday,3,2017,March,1,12,6
2017-03-27,20170327,Monday,3,2017,March,1,13,0
2017-03-28,20170328,Tuesday,3,2017,March,1,13,1
2017-03-29,20170329,Wednesday,3,2017,March,1,13,2
2017-03-30,20170330,Thursday,3,2017,March,1,13,3
2017-03-31,20170331,Friday,3,2017,March,1,13,4
2017-04-01,20170401,Saturday,4,2017,April,2,13,5
2017-04-02,20170402,Sunday,4,2017,April,2,13,6
2017-04-03,20170403,Monday,4,2017,April,2,14,0
2017-04-04,20170404,Tuesday,4,2017,April,2,14,1
2017-04-05,20170405,Wednesday,4,2017,April,2,14,2
2017-04-06,20170406,Thursday,4,2017,April,2,14,3
2017-04-07,20170407,Friday,4,2017,April,2,14,4
2017-04-08,20170408,Saturday,4,2017,April,2,14,5
2017-04-09,20170409,Sunday,4,2017,April,2,14,6
2017-04-10,20170410,Monday,4,2017,April,2,15,0
2017-04-11,20170411,Tuesday,4,2017,April,2,15,1
2017-04-12,20170412,Wednesday,4,2017,April,2,15,2
2017-04-13,20170413,Thursday,4,2017,April,2,15,3
2017-04-14,20170414,Friday,4,2017,April,2,15,4
2017-04-15,20170415,Saturday,4,2017,April,2,15,5
2017-04-16,20170416,Sunday,4,2017,April,2,15,6
2017-04-17,20170417,Monday,4,2017,April,2,16,0
2017-04-18,20170418,Tuesday,4,2017,April,2,16,1
2017-04-19,20170419,Wednesday,4,2017,April,2,16,2
2017-04-20,20170420,Thursday,4,2017,April,2,16,3
2017-04-21,20170421,Friday,4,2017,April,2,16,4
2017-04-22,20170422,Saturday,4,2017,April,2,16,5
2017-04-23,20170423,Sunday,4,2017,April,2,16,6
2017-04-24,20170424,Monday,4,2017,April,2,17,0
2017-04-25,20170425,Tuesday,4,2017,April,2,17,1
2017-04-26,20170426,Wednesday,4,2017,April,2,17,2
2017-04-27,20170427,Thursday,4,2017,April,2,17,3
2017-04-28,20170428,Friday,4,2017,April,2,17,4
2017-04-29,20170429,Saturday,4,2017,April,2,17,5
2017-04-30,20170430,Sunday,4,2017,April,2,17,6
2017-05-01,20170501,Monday,5,2017,May,2,18,0
2017-05-02,20170502,Tuesday,5,2017,May,2,18,1
2017-05-03,20170503,Wednesday,5,2017,May,2,18,2
2017-05-04,20170504,Thursday,5,2017,May,2,18,3
2017-05-05,20170505,Friday,5,2017,May,2,18,4
2017-05-06,20170506,Saturday,5,2017,May,2,18,5
2017-05-07,20170507,Sunday,5,2017,May,2,18,6
2017-05-08,20170508,Monday,5,2017,May,2,19,0
2017-05-09,20170509,Tuesday,5,2017,May,2,19,1
2017-05-10,20170510,Wednesday,5,2017,May,2,19,2
2017-05-11,20170511,Thursday,5,2017,May,2,19,3
2017-05-12,20170512,Friday,5,2017,May,2,19,4
2017-05-13,20170513,Saturday,5,2017,May,2,19,5
2017-05-14,20170514,Sunday,5,2017,May,2,19,6
2017-05-15,20170515,Monday,5,2017,May,2,20,0
2017-05-16,20170516,Tuesday,5,2017,May,2,20,1
2017-05-17,20170517,Wednesday,5,2017,May,2,20,2
2017-05-18,20170518,Thursday,5,2017,May,2,20,3
2017-05-19,20170519,Friday,5,2017,May,2,20,4
2017-05-20,20170520,Saturday,5,2017,May,2,20,5
2017-05-21,20170521,Sunday,5,2017,May,2,20,6
2017-05-22,20170522,Monday,5,2017,May,2,21,0
2017-05-23,20170523,Tuesday,5,2017,May,2,21,1
2017-05-24,20170524,Wednesday,5,2017,May,2,21,2
2017-05-25,20170525,Thursday,5,2017,May,2,21,3
2017-05-26,20170526,Friday,5,2017,May,2,21,4
2017-05-27,20170527,Saturday,5,2017,May,2,21,5
2017-05-28,20170528,Sunday,5,2017,May,2,21,6
2017-05-29,20170529,Monday,5,2017,May,2,22,0
2017-05-30,20170530,Tuesday,5,2017,May,2,22,1
2017-05-31,20170531,Wednesday,5,2017,May,2,22,2
2017-06-01,20170601,Thursday,6,2017,June,2,22,3
2017-06-02,20170602,Friday,6,2017,June,2,22,4
2017-06-03,20170603,Saturday,6,2017,June,2,22,5
2017-06-04,20170604,Sunday,6,2017,June,2,22,6
2017-06-05,20170605,Monday,6,2017,June,2,23,0
2017-06-06,20170606,Tuesday,6,2017,June,2,23,1
2017-06-07,20170607,Wednesday,6,2017,June,2,23,2
2017-06-08,20170608,Thursday,6,2017,June,2,23,3
2017-06-09,20170609,Friday,6,2017,June,2,23,4
2017-06-10,20170610,Saturday,6,2017,June,2,23,5
2017-06-11,20170611,Sunday,6,2017,June,2,23,6
2017-06-12,20170612,Monday,6,2017,June,2,24,0
2017-06-13,20170613,Tuesday,6,2017,June,2,24,1
2017-06-14,20170614,Wednesday,6,2017,June,2,24,2
2017-06-15,20170615,Thursday,6,2017,June,2,24,3
2017-06-16,20170616,Friday,6,2017,June,2,24,4
2017-06-17,20170617,Saturday,6,2017,June,2,24,5
2017-06-18,20170618,Sunday,6,2017,June,2,24,6
2017-06-19,20170619,Monday,6,2017,June,2,25,0
2017-06-20,20170620,Tuesday,6,2017,June,2,25,1
2017-06-21,20170621,Wednesday,6,2017,June,2,25,2
2017-06-22,20170622,Thursday,6,2017,June,2,25,3
2017-06-23,20170623,Friday,6,2017,June,2,25,4
2017-06-24,20170624,Saturday,6,2017,June,2,25,5
2017-06-25,20170625,Sunday,6,2017,June,2,25,6
2017-06-26,20170626,Monday,6,2017,June,2,26,0
2017-06-27,20170627,Tuesday,6,2017,June,2,26,1
2017-06-28,20170628,Wednesday,6,2017,June,2,26,2
2017-06-29,20170629,Thursday,6,2017,June,2,26,3
2017-06-30,20170630,Friday,6,2017,June,2,26,4
2017-07-01,20170701,Saturday,7,2017,July,3,26,5
2017-07-02,20170702,Sunday,7,2017,July,3,26,6
2017-07-03,20170703,Monday,7,2017,July,3,27,0
2017-07-04,20170704,Tuesday,7,2017,July,3,27,1
2017-07-05,20170705,Wednesday,7,2017,July,3,27,2
2017-07-06,20170706,Thursday,7,2017,July,3,27,3
2017-07-07,20170707,Friday,7,2017,July,3,27,4
2017-07-08,20170708,Saturday,7,2017,July,3,27,5
2017-07-09,20170709,Sunday,7,2017,July,3,27,6
2017-07-10,20170710,Monday,7,2017,July,3,28,0
2017-07-11,20170711,Tuesday,7,2017,July,3,28,1
2017-07-12,20170712,Wednesday,7,2017,July,3,28,2
2017-07-13,20170713,Thursday,7,2017,July,3,28,3
2017-07-14,20170714,Friday,7,2017,July,3,28,4
2017-07-15,20170715,Saturday,7,2017,July,3,28,5
2017-07-16,20170716,Sunday,7,2017,July,3,28,6
2017-07-17,20170717,Monday,7,2017,July,3,29,0
2017-07-18,20170718,Tuesday,7,2017,July,3,29,1
2017-07-19,20170719,Wednesday,7,2017,July,3,29,2
2017-07-20,20170720,Thursday,7,2017,July,3,29,3
2017-07-21,20170721,Friday,7,2017,July,3,29,4
2017-07-22,20170722,Saturday,7,2017,July,3,29,5
2017-07-23,20170723,Sunday,7,2017,July,3,29,6
2017-07-24,20170724,Monday,7,2017,July,3,30,0
2017-07-25,20170725,Tuesday,7,2017,July,3,30,1
2017-07-26,20170726,Wednesday,7,2017,July,3,30,2
2017-07-27,20170727,Thursday,7,2017,July,3,30,3
2017-07-28,20170728,Friday,7,2017,July,3,30,4
2017-07-29,20170729,Saturday,7,2017,July,3,30,5
2017-07-30,20170730,Sunday,7,2017,July,3,30,6
2017-07-31,20170731,Monday,7,2017,July,3,31,0
2017-08-01,20170801,Tuesday,8,2017,August,3,31,1
2017-08-02,20170802,Wednesday,8,2017,August,3,31,2
2017-08-03,20170803,Thursday,8,2017,August,3,31,3
2017-08-04,20170804,Friday,8,2017,August,3,31,4
2017-08-05,20170805,Saturday,8,2017,August,3,31,5
2017-08-06,20170806,Sunday,8,2017,August,3,31,6
2017-08-07,20170807,Monday,8,2017,August,3,32,0
2017-08-08,20170808,Tuesday,8,2017,August,3,32,1
2017-08-09,20170809,Wednesday,8,2017,August,3,32,2
2017-08-10,20170810,Thursday,8,2017,August,3,32,3
2017-08-11,20170811,Friday,8,2017,August,3,32,4
2017-08-12,20170812,Saturday,8,2017,August,3,32,5
2017-08-13,20170813,Sunday,8,2017,August,3,32,6
2017-08-14,20170814,Monday,8,2017,August,3,33,0
2017-08-15,20170815,Tuesday,8,2017,August,3,33,1
2017-08-16,20170816,Wednesday,8,2017,August,3,33,2
2017-08-17,20170817,Thursday,8,2017,August,3,33,3
2017-08-18,20170818,Friday,8,2017,August,3,33,4
